0,1,2,3,label
2.1634095,1.0761559,9.794507,8.022416,0
2.0862074,0.14153631,5.4052463,5.863454,0
1.7166632,2.8474243,7.9277434,5.920058,0
3.2272377,1.462279,8.065177,6.827604,0
0.3758706,-0.056513365,7.0696898,7.9980145,0
0.9043094,0.2060686,6.9210396,7.541372,0
1.457439,-0.23383361,6.1601467,6.0413895,0
2.4746547,1.0793053,6.765801,7.588001,0
2.0173159,-1.3656147,8.513048,7.6060576,0
3.1563873,0.6865069,8.06003,6.851107,0
0.45206663,0.10023487,8.19446,8.1303005,0
4.4129567,0.54512894,6.7833323,6.7727547,0
3.0258312,-0.9305866,6.2888865,6.175726,0
2.5612464,2.5999923,8.364701,6.147431,0
1.1612687,-0.2429899,6.928656,6.7684836,0
2.0483856,-1.4550427,8.509855,7.36438,0
3.0141678,-1.1940148,8.65895,7.2150807,0
3.2989836,0.21832363,5.136098,6.1161294,0
2.8651488,-0.3248434,4.8388615,6.5988913,0
0.24803407,0.28356892,7.565752,8.162282,0
3.7058961,0.67917734,7.876562,7.100634,0
1.2873322,-0.8135712,7.216277,7.493394,0
3.6606855,0.04794022,5.6671996,6.3582907,0
3.0000222,0.5983791,8.446606,6.441539,0
2.9130213,0.40118724,9.085363,6.985727,0
2.0492003,-0.47566682,5.3818326,6.255293,0
1.8037019,-0.4288057,10.255899,7.7621584,0
1.3795758,0.085184835,5.6298614,5.6511197,0
1.6255177,-0.057554472,6.628041,7.156601,0
2.3646636,-0.45931348,4.685702,7.404768,0
1.4270413,-0.046659082,6.6952105,6.63744,0
2.259277,-0.21713768,6.082335,7.045277,0
2.2538748,-0.7065749,10.431271,7.8605986,0
3.315117,-0.37942994,5.476192,6.2571645,0
1.802795,-0.7670599,6.487992,6.751017,0
2.890729,-0.2177771,4.982551,6.4925995,0
3.0962455,-0.30243337,9.222943,6.5098586,0
2.3699813,-1.0459784,9.367262,8.077582,0
4.2695737,0.34893155,6.065315,6.6089373,0
2.1719477,-1.2661753,8.665776,6.8787074,0
3.7556047,0.19552816,8.594994,7.4930067,0
2.8337822,0.5832454,8.992506,7.0446596,0
1.4176637,0.14608802,7.672583,5.8552384,0
2.5567555,-0.7308657,9.465339,7.0082088,0
2.6907773,1.1623969,7.9151325,7.4513183,0
2.7939105,-0.85144633,9.402101,6.779815,0
2.2770019,-1.423986,6.422678,7.4246335,0
2.9056253,3.2971375,8.299983,6.022225,0
3.2781024,0.5095987,8.762927,7.1837635,0
4.214849,0.38396597,6.562119,6.638556,0
2.8761022,-1.7288108,8.529542,7.095848,0
4.5589643,0.6020034,6.6605487,6.792184,0
2.2962127,-1.5724047,7.0596595,7.421567,0
2.0891414,-0.81494635,9.41118,7.0946975,0
2.500726,-0.37801442,4.7034616,7.32994,0
2.6615555,-0.48918587,9.616058,6.9579945,0
2.7183242,-0.31886363,4.7138996,7.10329,0
2.5951905,-0.9036245,9.231104,6.260615,0
2.7545428,-0.9514572,3.8208075,6.5208035,0
2.8412771,-0.7304042,4.073944,6.4871297,0
2.3529441,-1.5390005,9.033808,7.744788,0
1.478667,-1.4806129,6.990225,7.7688837,0
3.7855566,0.1998972,5.2265115,6.3766637,0
0.50362855,0.21759905,8.016776,8.17588,0
0.8531363,0.53748757,8.113544,7.674717,0
2.6184988,0.22756909,9.726468,7.7546005,0
2.3794515,-0.6968424,8.894302,7.5580683,0
2.186089,1.7814368,7.742278,7.8060284,0
1.3902475,-0.99845034,6.73174,6.8832707,0
2.1324205,-0.66067094,9.924637,6.7210045,0
0.7127514,-0.2531468,6.8924685,7.970161,0
2.6917322,-0.40672842,8.502642,6.0436673,0
2.4729357,-1.7280065,8.338308,7.696772,0
2.6164088,-0.53288424,5.076113,6.8380837,0
1.9023058,0.17939343,8.217534,6.188306,0
3.9816754,0.38638753,7.4356847,6.126273,0
1.834775,-0.024915788,6.6480904,7.224631,0
2.8013546,-0.8262308,3.9653962,6.5157247,0
2.4103007,0.5075786,9.691789,7.9240475,0
2.9568942,0.78935003,8.859558,6.826304,0
0.10069043,0.054790143,7.168209,8.224298,0
3.3003001,-0.1673698,4.7475424,6.4845295,0
2.594598,-0.84601134,7.7819643,7.523871,0
2.143517,0.6822768,8.486056,7.0880957,0
1.720692,-1.1651276,6.636178,7.0712495,0
3.0597355,0.72060454,8.3496,6.4949455,0
3.0501418,-0.16136599,9.364367,7.069541,0
2.3430343,2.7637525,8.136999,6.371766,0
2.121069,0.7186748,9.027045,7.874167,0
2.0072818,-0.56953627,5.872227,7.3106847,0
0.28152335,-0.08670885,7.0677686,8.221496,0
1.18819,-0.24228624,6.339027,7.532708,0
2.8081923,0.011954838,8.608299,6.032257,0
1.8873993,-1.0418488,10.210602,7.991859,0
2.056461,-0.40073127,8.693054,6.0765705,0
3.0291865,-1.7974554,8.863471,7.9600067,0
3.4738553,-0.3618798,9.405336,7.642298,0
1.9556433,1.2150621,10.017687,8.357228,0
1.7625673,-1.218139,6.1222105,7.0714555,0
2.4050214,-0.4831022,9.926898,7.4486,0
2.8187008,-1.8000432,8.1644945,7.4955726,0
2.4942331,-0.81485504,9.153699,5.887017,0
2.8544648,-1.1029105,6.095979,6.629107,0
2.0514114,-0.9216772,10.784242,7.7398453,0
2.909142,0.6300449,8.448088,6.3974924,0
4.43276,0.15481567,7.3322444,6.541451,0
1.5708466,-0.468786,5.5546603,6.261513,0
2.7902336,-0.28774402,5.7944965,6.7518,0
3.0477395,0.22702089,9.621183,7.656517,0
4.468854,0.5469417,7.310814,7.201466,0
2.5232444,-0.025960147,9.827535,7.382973,0
